,Uniprot,Protein,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
0,P04626,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),0.5,IC50,CN(C)[C@H](CS(C)(=O)=O)c1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,50030383,0.5,IC50,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1,50182684,0.5,IC50,Fc1ccc(Nc2ncnc3cnc(NC(=O)C#CCCN4CCOCC4)cc23)cc1Br,50182688
1,P02751,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],5.5,Kd,CO[C@@H]1[C@@H](COS([O-])(=O)=O)O[C@H](O[C@H]2[C@H](O)[C@@H](OS([O-])(=O)=O)[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc3cccc(NC(=O)CCCCC4CCSS4)c3)O[C@H]2C([O-])=O)[C@H](NS([O-])(=O)=O)[C@H]1O,50375221,6.5,Kd,CO[C@@H]1[C@@H](COS([O-])(=O)=O)O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc3cccc(NC(=O)CCCCC4CCSS4)c3)O[C@@H]2C([O-])=O)[C@H](NS([O-])(=O)=O)[C@H]1O,50375223,,,,
2,P17931,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),0.5,Kd,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](OCCOCCOCCn3cc(CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)nn3)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,50094303,1.1,Kd,OC[C@H]1OC(O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCCCCCCCCS)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,50336204,1.1,Kd,OC[C@H]1OC(O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCCCCCCCCS)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,50336204
3,P05362 ,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),1.0,IC50,CNC(=O)c1cc2c(Oc3ccc(cc3)C(F)(F)F)cncc2s1,50105186,1.4,IC50,NC(=O)c1cc2c(Oc3ccc(COC4CCCCO4)cc3)cncc2s1,50105227,2.0,IC50,NC(=O)c1cc2c(Oc3ccc(C=C)cc3)cncc2s1,50105151
