Liver,,
201650_at,KRT19,88.97
37892_at,COL11A1,63.59
212768_s_at,OLFM4,40.64
206418_at,NOX1,38.82
32128_at,CCL18,32.53
205713_s_at,COMP,32.18
203757_s_at,CEACAM6,32.16
209955_s_at,FAP,30.66
204580_at,MMP12,29.98
201839_s_at,TACSTD1,29.56
212353_at,SULF1,29.37
217428_s_at,COL10A1,27.80
203256_at,CDH3,27.53
203895_at,PLCB4,26.07
209772_s_at,CD24,25.86
222288_at,---,25.63
209173_at,AGR2,25.44
208650_s_at,CD24,23.48
218796_at,C20orf42,23.41
215646_s_at,CSPG2,22.05
205941_s_at,COL10A1,22.01
210809_s_at,POSTN,21.69
211571_s_at,CSPG2,20.03
202286_s_at,TACSTD2,19.37
211657_at,CEACAM6,19.33
60474_at,C20orf42,18.52
202404_s_at,COL1A2,18.43
203213_at,CDC2,18.21
204885_s_at,MSLN,17.94
213693_s_at,MUC1,17.75
203397_s_at,GALNT3,17.67
207173_x_at,CDH11,17.58
209847_at,CDH17,17.34
203896_s_at,PLCB4,17.27
201884_at,CEACAM5,17.02
217728_at,S100A6,16.90
203108_at,GPRC5A,16.49
207172_s_at,CDH11,16.32
214612_x_at,MAGEA6,16.08
266_s_at,CD24,16.07
216560_x_at,IGLC2,15.88
212354_at,SULF1,15.31
214651_s_at,HOXA9,15.12
44790_s_at,C13orf18,15.01
209360_s_at,RUNX1,14.81
204619_s_at,CSPG2,14.79
213953_at,KRT20,14.45
218186_at,RAB25,13.80
203789_s_at,SEMA3C,13.70
204286_s_at,PMAIP1,13.67
215446_s_at,LOX,13.42
213668_s_at,SOX4,13.29
213994_s_at,SPON1,13.02
206067_s_at,WT1,12.99
209792_s_at,KLK10,12.96
205767_at,EREG,12.92
203477_at,COL15A1,12.89
202489_s_at,FXYD3,12.82
219529_at,CLIC3,12.77
205239_at,AREG,12.74
209211_at,KLF5,12.73
210511_s_at,INHBA,12.49
201291_s_at,TOP2A,12.43
213764_s_at,MFAP5,12.43
211597_s_at,HOP,12.39
209016_s_at,KRT7,12.37
212942_s_at,KIAA1199,12.35
204285_s_at,PMAIP1,12.11
211002_s_at,TRIM29,12.10
209369_at,ANXA3,11.88
205157_s_at,KRT17,11.79
216834_at,RGS1,11.79
204083_s_at,TPM2,11.71
204457_s_at,GAS1,11.66
221900_at,COL8A2,11.64
221530_s_at,BHLHB3,11.62
209875_s_at,SPP1,11.57
204351_at,S100P,11.53
212444_at,GPCR5A,11.33
203548_s_at,LPL,11.25
202345_s_at,FABP5,10.95
201467_s_at,NQO1,10.84
218816_at,LRRC1,10.82
219476_at,C1orf116,10.80
204051_s_at,SFRP4,10.73
209942_x_at,MAGEA3,10.73
204487_s_at,KCNQ1,10.59
219787_s_at,ECT2,10.52
217875_s_at,TMEPAI,10.52
209524_at,HDGFRP3,10.50
204623_at,TFF3,10.35
201417_at,SOX4,10.33
204620_s_at,CSPG2,10.32
202826_at,SPINT1,10.30
203228_at,PAFAH1B3,10.23
213880_at,LGR5,10.20
218806_s_at,VAV3,10.18
219121_s_at,RBM35A,10.17
201012_at,ANXA1,10.12
221645_s_at,ZNF83,10.06
221898_at,PDPN,10.05
209905_at,HOXA9,10.03
202988_s_at,RGS1,9.98
205009_at,TFF1,9.98
209924_at,CCL18,9.97
202291_s_at,MGP,9.96
221731_x_at,CSPG2,9.95
205240_at,GPSM2,9.79
218963_s_at,KRT23,9.76
205709_s_at,CDS1,9.72
201744_s_at,LUM,9.67
210220_at,FZD2,9.61
204162_at,KNTC2,9.59
205081_at,CRIP1,9.56
210387_at,HIST1H2BG,9.49
202311_s_at,COL1A1,9.46
219010_at,C1orf106,9.45
216379_x_at,CD24,9.43
219555_s_at,BM039,9.43
202575_at,CRABP2,9.31
217889_s_at,CYBRD1,9.29
204430_s_at,SLC2A5,9.22
216905_s_at,ST14,9.10
203417_at,MFAP2,9.03
203936_s_at,MMP9,9.00
205047_s_at,ASNS,8.96
204641_at,NEK2,8.95
212344_at,SULF1,8.92
201667_at,GJA1,8.92
205980_s_at,ARHGAP8 /// LOC553158,8.87
204962_s_at,CENPA,8.86
203962_s_at,NEBL,8.79
213338_at,RIS1,8.76
213943_at,TWIST1,8.74
202952_s_at,ADAM12,8.68
219725_at,TREM2,8.63
206286_s_at,TDGF1,8.62
218542_at,C10orf3,8.62
201843_s_at,EFEMP1,8.61
202310_s_at,COL1A1,8.60
213317_at,CLIC5,8.57
205910_s_at,CEL,8.56
215214_at,IGLV3-25,8.54
222020_s_at,HNT,8.47
204015_s_at,DUSP4,8.47
221922_at,GPSM2,8.43
207714_s_at,SERPINH1,8.39
200660_at,S100A11,8.38
218960_at,TMPRSS4,8.37
203438_at,STC2,8.37
210115_at,RPL39L,8.35
203824_at,TSPAN8,8.33
205668_at,LY75,8.26
201324_at,EMP1,8.26
209196_at,WDR46,8.26
218468_s_at,GREM1,8.22
218885_s_at,GALNT12,8.18
218313_s_at,GALNT7,8.17
202504_at,TRIM29,8.14
